date name_first_line
2016-05-05T16:20:11Z "AMQP-572: Always commit only in `afterCompletion`"
2016-05-04T19:24:58Z "Fix `RabbitAdminDeclarationTests` for whitespace"
2016-05-04T18:57:39Z "AMQP-602: Add `Exchange` `internal` Option"
2016-05-04T18:53:22Z "AMQP-606: Increase Default Channel Cache Size"
2016-05-02T21:16:23Z "Upgrade to Gradle 2.13 and Travis optimizations"
2016-05-02T20:55:37Z "AMQP-605: Expose RabbitMQ ClientProperties"
2016-05-02T18:23:59Z "AMQP-603: Fix Member variable visibility"
2016-05-01T17:28:11Z "Reduce resolveArguments Complexity"
2016-04-30T13:48:03Z "More Refactoring"
2016-04-29T18:51:50Z "Reduce Method Complexity"
2016-04-27T20:20:14Z "AMQP-604: @QueueBinding: Support Arguments"
2016-04-20T18:38:03Z "AMQP-599: Log Appenders - Add addresses Property"
2016-04-15T19:29:38Z "AMQP-598: Admin: Ignore Scoped and Prototype Beans"
2016-04-11T15:02:34Z "AMQP-597: Document MetaAnnotations"
2016-04-07T14:06:26Z "Use Gradle's file() method to resolve file path"
2016-04-07T14:06:07Z "Fix build task dependencies"
2016-04-07T07:42:37Z "Fix namespace mapping (META-INF/spring.schemas)"
2016-04-05T17:16:55Z "checkstyle FinalClass"
2016-04-01T16:56:41Z "AMQP-595: Fix Auto-Startup for @RabbitListener"
2016-03-29T16:46:25Z "AMQP-591: Fix Permit Release on Factory Destroy"
2016-03-24T19:44:07Z "[artifactory-release] Next development version"
2016-03-24T19:44:03Z "[artifactory-release] Release version 1.6.0.M2"
2016-03-24T19:01:17Z "Apply `RedundantModifier` checkstyle and fix"
2016-03-24T19:00:07Z "AMQP-594: Fix for `@RabbitListener` When CGLIB"
2016-03-23T21:07:06Z "AMQP-592: CCF factory-timeout and connection-limit"
2016-03-23T16:09:15Z "AMQP-593: Doc Polishing"
2016-03-23T16:07:12Z "AMQP-591: Fix Channel Cache (with Permits)"
2016-03-22T15:44:52Z "Get rid of Java 8 usage from core code"
2016-03-22T15:35:37Z "AMQP-579: @SendTo - Support Runtime SpEL"
2016-03-21T18:38:04Z "AMQP-583: Fatal @RabbitListener Exceptions"
2016-03-21T16:32:33Z "AMQP-549: @RabbitListener Inferred Conversion Type"
2016-03-17T17:16:06Z "AMQP-571: Fix dead stores - squid:S1854"
2016-03-16T12:52:45Z "Sonar Fix"
2016-03-15T20:56:10Z "AMQP-590: Java Deserialization White List"
2016-03-15T17:25:56Z "Enable 'this.' Rule"
2016-03-14T23:18:03Z "AMQP-589: Inbound Delivery Mode Mapping"
2016-03-14T13:03:58Z "Fix Test Race Condition"
2016-03-09T15:53:24Z "AMQP-581: More Cache Stats (High Water Marks)"
2016-03-09T14:28:36Z "Fix New Sonar Errors"
2016-03-08T21:03:16Z "Fix Tangles"
2016-03-07T20:51:16Z "Add `fixHeaders.gradle` and apply the fix"
2016-03-06T15:14:04Z "AsyncTemplate: Fix Sonar Violation"
2016-03-05T20:02:11Z "Fix Race Condition in AsyncRabbitTemplateTests"
2016-03-04T23:13:51Z "Checkstyle Phase II - Fix Java File Headers"
2016-03-04T22:02:34Z "Checkstyle Phase I - NewLines at EOF"
2016-03-04T21:14:34Z "AMQP-585: Add receiveTimeout to Async Template"
2016-03-02T17:18:37Z "AMQP-539: Expose Async Template Message Converter"
2016-03-02T17:11:46Z "AMQP-539: Expose Async Template Connection Factory"
2016-02-29T21:58:06Z "AMQP-582: Compatibility with SF-4.3"
2016-02-27T03:05:48Z "AMQP-580: Add Bean Name to Default Task Executor"
2016-02-27T03:01:33Z "AMQP-581: Expose Caching CF Cache Statistics"
2016-02-24T23:11:03Z "Make getSpy method visible to other packages."
2016-02-24T23:10:39Z "Move CountDown to After Target Method Call"
2016-02-12T20:04:51Z "[artifactory-release] Next development version"
2016-02-12T20:04:42Z "[artifactory-release] Release version 1.6.0.M1"
2016-02-12T18:09:02Z "AMQP-569: Support Delayed Message Exchange Plugin"
2016-02-12T16:35:11Z "AMQP-547 Fix typo in ContTypeDelegatingMC methods"
2016-02-12T14:39:25Z "AMQP-570: Fix MimeType in SimpleAmqpHeaderMapper"
2016-02-12T14:37:44Z "AMQP-574: Document @RabbitListener Conversion"
2016-02-08T18:41:34Z "AMQP-568: Long LongString Header Handling"
2016-02-05T22:44:39Z "README Typo"
2016-02-03T22:03:58Z "AMQP-531: Log4j2 AmqpAppender"
2016-02-03T21:30:42Z "AMQP-557: @Repeatable @RabbitListener"
2016-02-02T18:06:00Z "AMQP-548, AMQP-567: Admin Declaration Failures"
2016-02-02T15:38:35Z "Add Contributor Covenant"
2016-01-28T15:07:31Z "AMQP-566: Add String Version of CorrelationId"
2016-01-28T15:03:34Z "Exclude with modules to meet IO requirements"
2016-01-27T21:54:32Z "AMQP-539: Add AsyncRabbitTemplate"
2016-01-27T18:33:30Z "AMQP-559: Fix Pre-Java8 Compliance"
2016-01-27T18:01:44Z "AMQP-559: Remove Lambdas for IO Compat. Build"
2016-01-26T22:09:37Z "AMQP-565: Fix NPE in RabbitAdmin"
