date,summary
2013-03-21T18:15:53Z,JedisConnection does not properly discard a transaction
2013-03-21T17:49:36Z,Jredis sort does not store results under given key
2013-03-21T17:30:52Z,"RJC string ops (sort, strlen, getrange) return incorrect results due to base64 value encoding"
2013-03-21T17:18:47Z,RJC keys method does not work with patterns due to base64 key encoding
2013-03-21T17:04:39Z,Upgrade SRP to fix getConfig
2013-03-21T12:37:46Z,Jedis dependency is not optional
2013-03-21T12:25:01Z,SRP sort not working due to NPE/syntax errors
2013-03-21T11:07:24Z,Jredis keys method does not work with patterns due to base64 key encoding
2013-03-20T15:02:24Z,"SRP brpop/blpop fails with ""ERR wrong number of arguments for 'brpop' command"""
2013-03-20T15:00:26Z,NPE on LettuceConnection blpop/brpop timeout
2013-03-14T10:44:41Z,SubscriptionTask doesn't release JedisConnection and causing future SubscriptionTasks to block
2013-03-12T15:46:14Z,SrpConnection.exec() does not return the results of the commands executed in the tx
2013-03-12T11:25:08Z,RedisAtomicInteger/AtomicLong.compareAndSet returns true with Lettuce even if value modified by other thread
2013-03-11T17:52:07Z,RjcConnection incr/decr ops throw Exception
2013-03-06T17:33:13Z,Messages not received when using RjcConnection.psubscribe (pattern subscribe)
2013-03-05T11:32:29Z,Pipeline functionality does not return array of return values
2013-03-05T11:28:56Z,Backward compatibility broken in 1.0.4 with 'convertAndSend' method
2013-02-22T05:07:11Z,spring-data-redis: hash increment treats long values as int
2013-01-30T09:51:18Z,update Redis example - retwisj
2013-01-30T07:51:00Z,SrpConnection on hGetAll fails with ClassCastException by (byte[]) BulkReply
2012-11-17T19:19:44Z,SpringTemplate does not close certain connections resulting in leaks
2012-11-05T23:33:07Z,compareAndSet doesn't seem to be atomic
2012-08-08T19:46:01Z,NPE when using pipelines
2012-07-19T10:17:21Z,Pub-Sub: channel is not passed correctly to a POJO message listener 
2012-06-29T07:10:12Z,slf4j-log4j and log4j artifacts have wrong dependency scope
2012-06-18T02:55:14Z,Wrong pipeline processing in JedisConnection
2012-06-13T01:48:28Z,"MessageListener will be invoked twice in MessageListenerAdapter#onMessage(Message, byte[])"
2012-05-03T18:02:48Z,JedisConnection.setBit() always throws an InvalidDataAccessApiUsageException
2012-04-12T10:03:59Z,Increment works wrong for value ops
2012-04-12T07:38:18Z,NPE in pipelined hGet of non-existing key
2012-04-06T13:21:49Z,Caching of ValueOpertions leads to that changes of serializer have no effect.
2012-04-06T03:26:30Z,DefaultBoundZSetOperations.intersectAndStore
2012-03-26T23:55:34Z,invoke the template.opsForSet().randomMember(Object key) method throw exception
2012-03-05T09:41:31Z,JedisUtils shouldn't wrap unknow Exception
2012-01-05T04:36:32Z,Mixed lifecycle in RedisMessageListenerContainer
2011-11-28T09:40:49Z,org.apache.commons.beanutils should be an optional dependency in manifest
2011-11-01T04:05:13Z,"In RedisTemplate class,expireAt has a bug"
2011-10-24T20:27:29Z,RedisCacheManager throw UnsupportedOperationException
2011-08-06T02:37:59Z,Example configuration in 4.7.2 Receiving/Subscribing for messages
2011-07-22T07:30:35Z,"<redis:collection/> breaks for type=""PROPERTIES"" because defaults are not initialized"
2011-07-04T11:33:44Z,1.0.0.BUILD-SNAPSHOT failure with Maven 3.0.2
2011-05-12T12:10:57Z,Documentation says there are no samples available but there are
2011-04-05T06:11:40Z,JRedisConnectionFactory fails to initialize if Redis is not running
2011-03-17T03:40:03Z,improve subscription pubsub
2011-03-16T16:23:32Z,Improve JacksonHashMapper to avoid suppressing unchecked warnings
2011-04-19T05:57:04Z,"RedisConnectionFactory implementations: add method getDatabase, fix JavaDoc for setDatabase"
2010-12-03T10:01:33Z,add SORT support for Redis operations
2011-07-01T04:52:58Z,upgrade to Jedis 2.0.0
2011-01-21T08:51:48Z,add property editors to allow transparent injection of RedisTemplate as operations view
2011-01-14T09:23:56Z,fix message publication in Jedis (once the driver supports byte[])
2011-03-14T01:37:29Z,add db index to connection factories
2010-12-03T10:59:26Z,implement Dequeue through RedisList
2011-03-15T09:14:02Z,"Add ""key operation"" methods to KeyBound and *Operations interfaces"
2010-12-06T01:50:15Z,implement BlockingDeque in RedisList
2011-01-13T11:21:21Z,lenient behaviour for null values
2011-03-08T03:28:27Z,"DefaultSortParameters ""builder"" methods should return DefaultSortParameters to be usefull"
2011-04-20T09:26:50Z,simplify pubsub namespace
2011-07-01T06:15:44Z,migrate build system to Gradle
2011-03-17T11:41:16Z,finish up BoundKeyOperaitons #move and #renameIfAbsent behaviour 
2010-12-03T10:59:06Z,implement BlockingQueue through RedisList
2011-03-14T13:31:14Z,Change argument and return type of ValueOperations.multiGet to List
2011-03-15T05:49:47Z,"Add a method that provides a ""pipelined connection"" context"
2011-06-13T13:39:48Z,Review DSM matrix and remove package cycles if found.
2011-01-25T01:53:41Z,Json serializer
2010-12-08T13:32:55Z,add Admin operations
2010-12-08T13:35:18Z,add support for remote server control operations
2011-01-23T04:28:31Z,pool parameter of spring data
2011-03-15T23:27:14Z,add support for RJC client
2011-01-21T06:15:45Z,add pipelining support
2010-12-06T09:53:29Z,add updates of expirations in RedisTemplate
2011-01-10T08:15:02Z,add support for pub/sub in Redis
2011-05-11T23:42:23Z,support consistent hashing for redis
2011-05-22T00:36:54Z,Currently BoundZSetOperations does not support zrangeByScoreWithScores or zrangeByScoreWithScores
2011-03-18T10:11:32Z,expose serializers to RedisCallback
2011-03-09T11:26:45Z,Improve pipeline usage on RedisTemplate
2011-03-04T10:02:37Z,add support for SORT/GET pattern
2011-04-05T06:28:13Z,Add PropertiesFactoryBean
2011-01-20T03:43:39Z,add dedicated String callback
2010-12-08T13:33:19Z,add support for persistence operations
2010-12-03T10:04:21Z,capped collections
2011-03-01T05:44:21Z,add basic mapping of objects to hash
2011-03-14T13:20:50Z,Allow database indizes > 16
2011-04-08T17:24:27Z,Using JedisConnectionFactory without setting a shardinfo yields a NullPointerException
2011-01-21T19:24:40Z,not reconnect redis server
2011-04-19T10:44:31Z,atomic counters increment can fail
