date,name_first_line
2016-04-06T14:35:59Z,DATAREDIS-484 - Release version 1.7 GA (Hopper).
2016-04-06T14:34:46Z,DATAREDIS-484 - Prepare 1.7 GA (Hopper).
2016-04-06T14:34:41Z,DATAREDIS-484 - Updated changelog.
2016-04-05T12:18:47Z,DATAREDIS-485 - Point to the appropriate Jira project.
2016-04-05T07:19:53Z,DATAREDIS-485 - Add pull request template.
2016-03-29T08:30:55Z,DATAREDIS-444 - Polishing.
2016-03-29T07:25:57Z,DATAREDIS-444 - Return result of delete in DefaultHashOperation.
2016-03-24T13:49:58Z,DATAREDIS-482 - Provide meaningful exception messages in MappingRedisConverter.
2016-03-22T10:06:10Z,DATAREDIS-480 - Polishing.
2016-03-22T10:00:13Z,DATAREDIS-480 - Add support for all lettuce SSL options.
2016-03-18T10:16:08Z,DATAREDIS-475 - After release cleanups.
2016-03-18T10:15:51Z,DATAREDIS-475 - Prepare next development iteration.
2016-03-18T10:15:00Z,DATAREDIS-475 - Release version 1.7 RC1 (Hopper).
2016-03-18T10:06:58Z,DATAREDIS-475 - Prepare 1.7 RC1 (Hopper).
2016-03-18T10:06:55Z,DATAREDIS-475 - Updated changelog.
2016-03-17T13:16:08Z,DATAREDIS-427 - Polishing.
2016-03-17T13:15:46Z,DATAREDIS-427 - Allow construction of customized JdkSerializationRedisSerializer.
2016-03-16T08:37:12Z,DATAREDIS-479 - Polishing.
2016-03-15T13:32:37Z,DATAREDIS-479 - Upgrade to jedis to 2.8.1.
2016-03-15T08:17:37Z,DATAREDIS-476 - Polishing.
2016-03-15T08:17:37Z,DATAREDIS-476 - Add SSL support to LettuceConnectionFactory.
2016-03-15T07:15:07Z,DATAREDIS-478 - Upgrade to lettuce 3.4.2.Final.
2016-03-14T09:41:58Z,"DATAREDIS-425 - Preserve item order in list, update documentation."
2016-03-14T09:41:23Z,DATAREDIS-425 - Adapted to changes in Spring Data KeyValue APIs.
2016-03-14T09:40:31Z,DATAREDIS-425 - Adapted to changes in Spring Data KeyValue APIs.
2016-03-14T09:39:50Z,"DATAREDIS-425 - Add JSR-310 support, CDI extension and Update reference documentation."
2016-03-14T09:38:52Z,DATAREDIS-425 - CRUD operation and index resolution refinements.
2016-03-14T09:38:20Z,DATAREDIS-425 - Add SpelIndexResolver
2016-03-14T09:38:12Z,DATAREDIS-425 - Support distinct indexName
2016-03-14T09:37:53Z,DATAREDIS-425 - Add Support for basic CRUD and finder Operations backed by Hashes and Sets.
2016-03-04T13:19:41Z,DATAREDIS-472 - Add guards to JedisConnection before casting long to int.
2016-03-04T12:26:05Z,DATAREDIS-472 - Remove guards on pExpire & pSetEx in JedisConnection for values exceeding Integer.MAX_VALUE.
2016-03-04T12:18:37Z,DATAREDIS-474 - Fix spelling / format in reference documentation.
2016-02-26T08:07:07Z,DATAREDIS-468 - Polishing.
2016-02-26T08:07:02Z,DATAREDIS-468 - Guard multi/exec bocks in RedisCache to allow usage with cluster.
2016-02-26T07:46:05Z,DATAREDIS-467 - Fix cluster multi key commands.
2016-02-23T13:27:25Z,DATAREDIS-459 - Updated changelog.
2016-02-18T06:41:23Z,DATAREDIS-462 - Polishing.
2016-02-17T16:26:20Z,DATAREDIS-462 - Support lettuce ClientResources.
2016-02-17T16:26:20Z,DATAREDIS-465 - Guard lettuce client shutdown during ConnectionFactory.destroy.
2016-02-17T16:26:20Z,DATAREDIS-463 - Prevent tests cleanup from failing.
2016-02-17T14:26:46Z,DATAREDIS-463 - Improve test synchronization.
2016-02-17T09:00:16Z,DATAREDIS-415 - Polishing.
2016-02-17T08:59:36Z,DATAREDIS-415 - Handle InterruptedException correctly in RedisMessageListenerContainer.
2016-02-16T14:20:54Z,DATAREDIS-464 - Enhance JavaDoc on RedisStringCommands and StringRedisConnection.
2016-02-16T14:14:26Z,DATAREDIS-316 - Polishing.
2016-02-16T14:14:14Z,"DATAREDIS-316 - Add EX/PX, NX/XX options to SET command."
2016-02-12T14:43:57Z,DATAREDIS-447 - After release cleanups.
2016-02-12T14:43:39Z,DATAREDIS-447 - Prepare next development iteration.
2016-02-12T14:42:47Z,DATAREDIS-447 - Release version 1.7 M1 (Hopper).
2016-02-12T14:36:20Z,DATAREDIS-447 - Prepare 1.7 M1 (Hopper).
2016-02-12T14:36:15Z,DATAREDIS-447 - Updated changelog.
2016-02-12T08:50:18Z,DATAREDIS-461 - Deprecate support for org.codehaus.jackson based Serializers and Mappers.
2016-02-12T08:43:46Z,DATAREDIS-460 - Remove .project file.
2016-02-11T13:55:10Z,DATAREDIS-458 - Upgrade to lettuce 3.4.1.Final.
2016-02-10T13:59:26Z,DATAREDIS-452 - Polishing.
2016-02-10T13:57:51Z,DATAREDIS-452 - Improve thread synchronization in RedisCacheTest.testCacheGetSynchronized.
2016-02-10T12:42:12Z,DATAREDIS-457 - Fix typo in reference documentation.
2016-02-10T12:34:36Z,DATAREDIS-456 - Fix misleading log message created by RedisMessageListenerContainer.
2016-02-10T12:07:47Z,DATAREDIS-455 - Increase expire time in RedisTemplateTests.
2016-02-10T10:09:00Z,DATAREDIS-407 - Polishing.
