date,summary
2016-12-22T19:13:37Z,Validator Configuration Mismatch between JavaConfig and XML
2016-12-22T14:27:16Z,Regression with poolTargetSource and scoped proxy
2016-12-22T09:19:31Z,Constant error 416 for a byte-range request with content type application/octet-stream
2016-12-19T12:12:14Z,MBeanExporter fails against null beans
2016-12-19T02:25:13Z,ConcurrentModificationException in AbstractRequestExpectationManager
2016-12-16T18:08:40Z,LinkedCaseInsensitiveMap does not properly support Java 8's merge() and compute() methods
2016-12-15T14:41:03Z,RequestHeader annotation does not work if it's put on an interface
2016-12-15T01:13:15Z,BridgeMethodResolver.findBridgedMethod() return wrong method with interface
2016-12-14T16:59:48Z,Pointcut evaluation fails against AbstractHandlerMethodMapping$MappingRegistry with AspectJ 1.8.10
2016-12-14T14:30:48Z,Validation of existing transactions with transaction synchronization turned off not working (?)
2016-12-14T12:58:22Z,JsonObjectDecoder throws ArrayIndexOutOfBoundsException: -1 with valid input
2016-12-12T21:53:44Z,@JsonIgnoreProperties(ignoreUnknown=false) is not working in Spring 4.2.8 and upper version
2016-12-08T23:49:09Z,Bad Content-Type for static resources in Spring Web Reactive
2016-12-08T20:53:55Z,Behaviour of field injection for List dependencies that are produced and consumed by the same configuration class has changed in 4.3.5 snapshots
2016-12-06T03:56:31Z,using ParallelComputer to test spring test cases got error
2016-12-05T14:06:02Z,ServletRequestBindingException should be wrapped as JSON response body
2016-12-05T09:21:33Z,Concurrency problem in DeferredResult: potential double execution of handleResult
2016-12-03T17:01:34Z,Exception accessing static resources in Spring Web Reactive with Netty
2016-12-02T07:54:09Z,Spring websocket client cannot connecting on some computers
2016-12-01T22:46:27Z,ImportAware.setImportMetadata not invoked if import inherited from superclass with negative condition
2016-12-01T14:30:58Z,List-to-String conversion exception does not refer to element type
2016-12-01T04:55:56Z,lazy-init beans cause ClassNotFoundException
2016-12-01T01:54:00Z,spring or shiro jsonp(AbstractJsonpResponseBodyAdvice) bug
2016-11-30T20:16:28Z,Self reference fallback in 4.3 is not meant to apply to collection elements
2016-11-30T18:15:31Z,"Spring-Actuator prevents Beans of class ""CounterService"" from being found "
2016-11-26T20:15:57Z,Startup performance differences between Spring Boot versions and main class vs jar file formats
2016-11-24T17:38:50Z,@Scheduled on AWS EC2 does not work
2016-11-24T00:59:50Z,Suboptimal performance of Jetty in Spring Web Reactive compared to Tomcat or Undertow
2016-11-24T00:46:46Z,Large performance impact when using SSE in Spring Web Reactive
2016-11-23T21:22:35Z,NPE is thrown while writing the response
2016-11-23T11:05:34Z,RestTemplate's getSupportedMediaTypes method drop messageconverter mediatype character set information
2016-11-23T02:19:00Z,May spring need update to take account of Oracle's fix for CVE-2016-3427.
2016-11-22T14:56:14Z,PathMatchingResourcePatternResolver provides duplicate resources with relative URL
2016-11-22T09:44:33Z,Cron Expression validation
2016-11-21T22:26:27Z,Class loading issues due to thread context classloader hierarchy (Spring Web Reactive + Tomcat)
2016-11-21T21:30:36Z,NPE in LoadTimeWeavingConfiguration: loadTimeWeaver() called too early
2016-11-21T17:17:38Z,ConversionService performance regression
2016-11-17T11:20:06Z,AbstractSockJsSession deadlock when tomcat WsSession is closing
2016-11-14T21:52:14Z,ExceptionHandlerExceptionResolver should not log propagated exceptions at warn level
2016-11-14T11:10:21Z,Make andRoute() a drop-in replacement for and(route())
2016-11-13T20:22:55Z,"Early ""Constructor Injection"" beans ignore @Transactional silently when  using @EnableTransactionManagement"
2016-11-11T20:15:44Z,component-scan for .groovy files does not work on JDK 9
2016-11-11T14:07:41Z,sse breaks with indenting serializer
2016-11-10T10:33:05Z,WebClient ArrayIndexOutOfBoundsException
2016-11-09T17:12:35Z,TemplateInputException MVC spring-boot-starter-parent
2016-11-09T16:18:17Z,Injecting bean in configurable class using load-time weaving broken when referenced on scoped-proxy class
2016-11-09T15:41:41Z,Content-based versions are not inserted into resource URLs in an error page
2016-11-09T10:54:28Z,Netty4ClientHttpRequestFactory should use SSL if port is 443 or scheme is https
2016-11-08T13:28:11Z,Execute getBeansWithAnnotation when bean has a @RefreshScope annotation returns unexpected number of results
2016-11-08T03:34:25Z,Spring context initializtion failed
2016-11-03T17:48:36Z,Spring Data REST is Not Activated for Reactive Web
2016-11-03T17:38:31Z,Returning Mono<ResponseEntity<?>> causes NPE
2016-11-03T16:13:40Z,Wrong HandlerResultHandler select when dealing with exceptions
2016-11-03T03:59:42Z,The 500 error occur when receive a indexed parameter equal or greater than autoGrowCollectionLimit
2016-11-02T18:05:33Z,Invoking method (having @Bean) on Autowired parent class is calling subclass method
2016-11-02T12:59:46Z,NoSuchMethodError when using AnnotatedElementAdapter with Java 7
2016-11-02T04:50:54Z,[spring-web-reactive] NPE in RequestMappingHandlerAdapter at Startup
2016-11-01T10:32:20Z,ObjectMapper used by Jackson2JsonDecoder doesn't pick up jackson-parameter-names module
2016-10-31T12:24:29Z,SpEL: Compiled OpNE should favor equals() to !=
2016-10-29T11:31:55Z,RestTemplate POST and PUT don't work with Netty4ClientHttpRequestFactory
2016-10-28T09:23:59Z,JsonObjectDecoder fails to decode some splitted source
2016-10-26T18:30:20Z,Can't return JSON view from RequestMappings with Trailing Slashes
2016-10-26T17:57:16Z,Allow @Cacheable method to return java.util.Optional variant of cached value with @Cacheable(sync=true)
2016-10-26T14:26:05Z,ResourceHttpRequestHandler no longer works as prototype bean
2016-10-26T13:39:04Z,NPE PropertyOrFieldReference$AccessorLValue due to concurrency issue
2016-10-26T10:56:55Z,LiveBeansView#unregister should not rely on ApplicationContext#getApplicationName
2016-10-26T02:19:09Z,SimpleApplicationEventMulticaster should not generally suppress ClassCastException
2016-10-21T20:59:52Z,JpaTransactionManager is not passing on constraint violations with Hibernate 5.2
2016-10-21T12:47:24Z,Spring MVC binding of email influences other fields too
2016-10-21T10:46:45Z,No bean of type ConfigurableEnvironment in AbstractTestNGSpringContextTests
2016-10-21T09:47:26Z,SockJs heartbeat causes deadlock with XHR polling
2016-10-20T12:32:47Z,UriComponentBuilder doesn't work with encoded HTTP URL having '+'.
2016-10-19T15:25:03Z,Regression: ETag and Last-Modified headers are removed in non-safe methods that return 200 OK
2016-10-19T10:37:33Z,StringHttpMessageConverter should use its default charset
2016-10-14T17:10:08Z,simp allows glob subscription to receive another user messages
2016-10-14T09:27:27Z,Spring Mvc Annotations in argument of a method (like @Path) annotated with @RequestMapping are not supported when you create a @RestController via an Interface
2016-10-13T11:25:08Z,SubProtocolWebSocketHandler should check session status before adding to map
2016-10-13T09:31:13Z,Hot publishing to an event stream not working
2016-10-12T13:29:06Z,Cache annotation lookup in 4.3 finds more annotations than in 4.2
