date,summary
2012-08-06T09:51:41Z,ConcurrentModificationException with publish confirms
2012-07-26T05:53:17Z,MissingIdRetryTests fails if there is no broker running
2012-07-24T07:50:58Z,Hanging thread when using RabbitTransactionManager with a listener container where channelTransacted=true
2012-07-18T10:18:53Z,Publisher Confirms with Multiple Listeners Not Distributed Properly
2012-07-16T06:23:01Z,Remove System.out Call In JsonMessageConverter
2012-07-13T06:03:55Z,Anonymous reply-queue Doesn't Work with Send/Reply Operations
2012-07-12T11:46:31Z,Issues with RabbitTemplate Temporary Reply Queues
2012-06-27T11:54:09Z,Remove POMs from Project Trees After Gradle Migration
2012-06-19T09:44:51Z,Intermittent Test Failures
2012-06-11T02:23:38Z,AmqpAppender and log4j synchronization issues resulting in messages loss
2012-06-08T13:09:15Z,Log4j AmqpAppender does not use the layout
2012-05-16T07:36:09Z,Create Schema Version for 1.1 stream
2012-05-16T06:27:44Z,Publisher Returns Cannot be Requested Independently of Publisher Confirms
2012-05-15T17:34:16Z,More Failing System Tests
2012-05-12T05:50:39Z,Fix Failing Integration Tests
2012-05-10T01:44:28Z,Exception when modifying messageProperties in correlation with MarshallingMessageConverter via MessagePostProcessor
2012-05-06T22:07:01Z,BlockingQueueConsumer doesn't always acknowledge messages when in AUTO mode
2012-04-24T09:03:04Z,Retry Exponential BackOff Policy Doesn't Back Off
2012-04-06T08:08:36Z,Too Many Threads Running in SimpleListenerContainer
2012-03-12T14:07:08Z,Possible deadlock during startup caused by RabbitAdmin#initialize querying the ApplicationContext
2012-02-29T14:28:58Z,XSD doco for listener container's message-converter attribute is wrong
2012-02-29T12:45:58Z,XSD doco for binding's key attribute is wrong
2012-02-22T12:43:05Z,OutboundGateway temporary response channels not timing out after 5 seconds without response
2012-01-23T11:29:16Z,BlockingQueueConsumer.InternalConsumer does not override handleCancel which is called when consumer is cancelled by broker
2012-01-11T14:01:29Z,binding element documentation is not correct
2011-11-15T07:09:57Z,"Race condition in rabbitmq server, need to close channels before closing connection."
2011-10-10T06:26:35Z,SimpleMessageListenerContainer often stops getting messages from a queue
2011-09-20T09:35:02Z,Unable to declaring queue arguments with spring-rabbit-1.0.0.RELEASE
2011-09-30T12:36:19Z,NPE when stopping rabbitmq master in ha mode
2011-09-23T11:23:51Z,RabbitTemplate/RabbitGatewaySupport incompatible with JDK proxy
2011-09-21T09:55:06Z,java.lang.ClassNotFoundException: com.rabbitmq.client.impl.LongString
2011-09-15T07:10:49Z,SimpleMessageListenerContainer should check isRunning() in doStart() method
2011-09-10T20:24:17Z,CachingConnectionFactory leaks channels when synchronized with a TransactionManager
2011-08-02T07:14:41Z,"Duplicate ""deleted"" in warning"
2011-07-28T11:41:56Z,RabbitTemplate's 'reply-to' value used for rpc causes NO_ROUTE errors when server code uses its value as a routing key.
2011-07-20T13:07:54Z,java.lang.IllegalAccessError trying to produce to a fanout exchange
2011-07-19T07:53:14Z,Reference guide refers to AbstractRabbitConfiguration
2011-07-05T13:32:24Z,RabbitAdmin anonymous queue declaration javadocs inconsistent with Queue properties
2011-05-11T22:48:47Z,spring-rabbit-1.0.0.RC1.jar missing one Import-Package in the MANIFEST.MF
2011-05-10T05:49:10Z,SimpleMessageListenerContainer should only commit every txSize messages
2011-05-10T01:58:30Z,The project should not depend on log4j
2011-04-27T05:23:57Z,AmqpAppender does not die cleanly when webapp shuts down
2011-04-27T02:00:51Z,Exchange parsers do not handle anonymous queues correctly
2011-04-26T04:08:33Z,MessageListenerAdapter will fail if the delegate is a proxy
2011-04-07T13:06:34Z,Out of memory
2011-04-06T00:46:32Z,SingleConnectionFactory can close the wrong target connection on close
2011-04-05T07:29:00Z,RabbitAdmin or CachingConnectionFactory should prevent calls to ConnectionListener when physical connection is not opened
2011-04-04T22:54:24Z,Default number of consumers is 0 on SimpleMessageListenerContainer if afterPropertiesSet() not called
2011-04-04T11:53:53Z,Samples are missing
2011-03-28T06:07:36Z,Broker stop then restart: RabbitAdmin fails to re-declare non-durable queues
2011-03-23T08:32:48Z,Update parsers to be consistent with attirbutes in XSD
2011-03-23T07:51:21Z,Unreliable lock algorithm in SimpleMessageListenerContainer
2011-03-22T11:19:26Z,Message.toString() ClasscastException
2011-03-21T03:43:37Z,RabbitAdmin needs to handle starting up with no broker
2011-03-15T08:31:54Z,"<listener-container concurrency=""5""/> blows up"
2011-03-14T08:34:59Z,Add setter for ObjectMapper on JsonMessageConverter
2011-03-10T10:14:32Z,Tomcat shutdown doesn't wait for consumers in MessageListenerContainer
2011-02-16T08:57:37Z,AmqpBrokerAdminIntegrationTests failing with new rabbit server (2.3.1)
2010-12-27T13:26:04Z,spring-amqp app starts before application server
2010-12-27T13:18:18Z,Runtime exceptions stop listener but leave channel open - provide no output
2010-12-01T03:19:13Z,java.lang.NullPointerException at org.springframework.amqp.core.Message toString() invocation
2010-11-12T15:08:41Z,Fix root pom generation in Gradle build
2010-11-09T06:09:41Z,RabbitTemplate ignores MessageProperties for send(MessageCreator) method
2010-11-04T09:37:30Z,RabbitTemplate.receive can return null when not transactional
2010-11-04T08:20:23Z,Message listener container multiple messages per transaction not working
2010-10-28T15:28:28Z,CachingConnectionFactory should segregate transactional and non-transactional channels
2010-10-22T12:55:04Z,Provide clearer exception on ACL violation (e.g. new vhost)
2010-10-22T12:11:54Z,Make RabbitAdmin.deleteQueue() return boolean result
2010-08-02T14:21:06Z,NullPointerException in Message.toString() method when BasicProperties are sent as null
2010-07-30T03:13:53Z,bundlor-generated manifest files have ${version} placeholder instead of actual version
2010-07-26T00:21:13Z,Compile-time dependency upon spring-test in spring-amqp's pom
2010-07-15T15:49:39Z,hostname property is ignored in ConnectionFactory implementations
